代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
002313.SZ,*ST日海,20091203,,46,55,45.5,53.3,16603825,802949012.7,28.5,114.9194,48.3593,83.0191,1066000000,,5330000000,20000000,0,100000000,150.0856,22.2025,12.8253,100.1066,
002313.SZ,*ST日海,20091204,53.3,49.9,53.28,47.97,47.97,10164427,504789825.8,-5.33,-10,49.6624,50.8221,959400000,,4797000000,20000000,0,100000000,135.077,19.9822,11.5428,90.0959,
002313.SZ,*ST日海,20091207,47.97,46.96,51.09,46.6,49.88,6044483,300474766.3,1.91,3.9817,49.7106,30.2224,997600000,,4988000000,20000000,0,100000000,140.4553,20.7779,12.0024,93.6833,
002313.SZ,*ST日海,20091208,49.88,49.83,49.85,47.1,48.41,4099767,198973557,-1.47,-2.9471,48.5329,20.4988,968200000,,4841000000,20000000,0,100000000,136.316,20.1655,11.6487,90.9223,
002313.SZ,*ST日海,20091209,48.41,47.93,49.57,47.12,47.87,3007095,145331556.9,-0.54,-1.1155,48.3296,15.0355,957400000,,4787000000,20000000,0,100000000,134.7955,19.9406,11.5187,89.9081,
002313.SZ,*ST日海,20091210,47.87,47.61,49.58,47.61,48.68,3200206,156303756.7,0.81,1.6921,48.8418,16.001,973600000,,4868000000,20000000,0,100000000,137.0763,20.278,11.7136,91.4294,
002313.SZ,*ST日海,20091211,48.68,48.5,48.6,46.7,47.17,3360261,159239012.1,-1.51,-3.1019,47.3889,16.8013,943400000,,4717000000,20000000,0,100000000,132.8243,19.649,11.3503,88.5934,
002313.SZ,*ST日海,20091214,47.17,47,47.6,44,45.29,2470072,112337485.4,-1.88,-3.9856,45.4794,12.3504,905800000,,4529000000,20000000,0,100000000,127.5305,18.8659,10.8979,85.0624,
002313.SZ,*ST日海,20091215,45.29,45,45.25,43.9,44.87,2128465,94529527.8,-0.42,-0.9274,44.4121,10.6423,897400000,,4487000000,20000000,0,100000000,126.3479,18.6909,10.7968,84.2736,
002313.SZ,*ST日海,20091216,44.87,44.48,44.48,41.9,41.94,2802625,120398061.9,-2.93,-6.53,42.959,14.0131,838800000,,4194000000,20000000,0,100000000,118.0974,17.4704,10.0918,78.7706,
