´úÂë,¼ò³Æ,ÈÕÆÚ,Ç°ÊÕÅÌ¼Û(Ôª),¿ªÅÌ¼Û(Ôª),×î¸ß¼Û(Ôª),×îµÍ¼Û(Ôª),ÊÕÅÌ¼Û(Ôª),³É½»Á¿(¹É),³É½»½ð¶î(Ôª),ÕÇµø(Ôª),ÕÇµø·ù(%),¾ù¼Û(Ôª),»»ÊÖÂÊ(%),A¹ÉÁ÷Í¨ÊÐÖµ(Ôª),B¹ÉÁ÷Í¨ÊÐÖµ(Ôª),×ÜÊÐÖµ(Ôª),A¹ÉÁ÷Í¨¹É±¾(¹É),B¹ÉÁ÷Í¨¹É±¾(¹É),×Ü¹É±¾(¹É),ÊÐÓ¯ÂÊ,ÊÐ¾»ÂÊ,ÊÐÏúÂÊ,ÊÐÏÖÂÊ,
300180.SZ,»ª·å³¬ÏË,20110222,,21,21.58,20.12,20.19,20093995,417368192.4,0.46,2.3315,20.7708,62.7937,646080000,,3190020000,32000000,0,158000000,39.2463,9.9275,7.3641,-156.4662,
300180.SZ,»ª·å³¬ÏË,20110223,20.19,19.78,20.08,19.51,19.88,5583958,110666894.6,-0.31,-1.5354,19.8187,17.4499,636160000,,3141040000,32000000,0,158000000,38.6437,9.7751,7.2511,-154.0638,
300180.SZ,»ª·å³¬ÏË,20110224,19.88,19.78,20.13,19.71,19.95,3660719,72964784.1,0.07,0.3521,19.9318,11.4397,638400000,,3152100000,32000000,0,158000000,38.7798,9.8095,7.2766,-154.6062,
300180.SZ,»ª·å³¬ÏË,20110225,19.95,19.86,19.98,19.48,19.68,3162894,62252812.2,-0.27,-1.3534,19.6822,9.884,629760000,,3109440000,32000000,0,158000000,38.255,9.6767,7.1781,-152.5138,
300180.SZ,»ª·å³¬ÏË,20110228,19.68,19.72,19.94,19.66,19.91,2297197,45488489.9,0.23,1.1687,19.8017,7.1787,637120000,,3145780000,32000000,0,158000000,38.702,9.7898,7.262,-154.2962,
300180.SZ,»ª·å³¬ÏË,20110301,19.91,19.92,20.15,19.78,20.05,3193909,63746754,0.14,0.7032,19.9589,9.981,641600000,,3167900000,32000000,0,158000000,38.9742,9.8587,7.3131,-155.3812,
300180.SZ,»ª·å³¬ÏË,20110302,20.05,20.1,20.26,19.84,20.23,4142229,83171704.3,0.18,0.8978,20.079,12.9445,647360000,,3196340000,32000000,0,158000000,39.3241,9.9472,7.3787,-156.7762,
300180.SZ,»ª·å³¬ÏË,20110303,20.23,20.16,20.25,19.73,19.76,2426879,48448884.9,-0.47,-2.3233,19.9635,7.584,632320000,,3122080000,32000000,0,158000000,38.4105,9.7161,7.2073,-153.1338,
300180.SZ,»ª·å³¬ÏË,20110304,19.76,19.79,19.9,19.55,19.87,1761566,34836171.6,0.11,0.5567,19.7757,5.5049,635840000,,3139460000,32000000,0,158000000,38.6243,9.7702,7.2474,-153.9863,
300180.SZ,»ª·å³¬ÏË,20110307,19.87,19.99,19.99,19.8,19.95,1914722,38098183.8,0.08,0.4026,19.8975,5.9835,638400000,,3152100000,32000000,0,158000000,38.7798,9.8095,7.2766,-154.6062,
