代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
300399.SZ,天利科技,20141009,,14.54,16.11,14.54,16.11,25402,409215.1,4.92,43.9678,16.1096,0.127,322200000,,1288800000,20000000,0,80000000,28.251,4.6696,6.5282,-14.0101,
300399.SZ,天利科技,20141010,16.11,17.72,17.72,17.72,17.72,9925,175871,1.61,9.9938,17.72,0.0496,354400000,,1417600000,20000000,0,80000000,31.0743,5.1363,7.1807,-15.4102,
300399.SZ,天利科技,20141013,17.72,19.49,19.49,19.49,19.49,13300,259217,1.77,9.9887,19.49,0.0665,389800000,,1559200000,20000000,0,80000000,34.1783,5.6494,7.8979,-16.9495,
300399.SZ,天利科技,20141014,19.49,21.44,21.44,21.44,21.44,15725,337144,1.95,10.0051,21.44,0.0786,428800000,,1715200000,20000000,0,80000000,37.5979,6.2146,8.6881,-18.6453,
300399.SZ,天利科技,20141015,21.44,23.58,23.58,23.58,23.58,28152,663824.2,2.14,9.9813,23.58,0.1408,471600000,,1886400000,20000000,0,80000000,41.3506,6.8349,9.5553,-20.5064,
300399.SZ,天利科技,20141016,23.58,25.94,25.94,25.94,25.94,41950,1088183,2.36,10.0085,25.94,0.2097,518800000,,2075200000,20000000,0,80000000,45.4892,7.519,10.5116,-22.5588,
300399.SZ,天利科技,20141017,25.94,28.53,28.53,28.53,28.53,108325,3090512.3,2.59,9.9846,28.53,0.5416,570600000,,2282400000,20000000,0,80000000,50.0311,8.2697,11.5612,-24.8112,
300399.SZ,天利科技,20141020,28.53,31.38,31.38,31.38,31.38,342346,10742817.5,2.85,9.9895,31.38,1.7117,627600000,,2510400000,20000000,0,80000000,55.0289,9.0958,12.7161,-27.2897,
300399.SZ,天利科技,20141021,31.38,34.52,34.52,34.52,34.52,312702,10794473,3.14,10.0064,34.52,1.5635,690400000,,2761600000,20000000,0,80000000,60.5353,10.006,13.9885,-30.0204,
300399.SZ,天利科技,20141022,34.52,37.97,37.97,37.97,37.97,173854,6601236.4,3.45,9.9942,37.97,0.8693,759400000,,3037600000,20000000,0,80000000,66.5854,11.006,15.3866,-33.0207,
300399.SZ,天利科技,20141023,37.97,41.77,41.77,41.77,41.77,168310,7030308.7,3.8,10.0079,41.77,0.8415,835400000,,3341600000,20000000,0,80000000,73.2492,12.1075,16.9264,-36.3254,
300399.SZ,天利科技,20141024,41.77,45.95,45.95,45.95,45.95,250695,11519435.3,4.18,10.0072,45.95,1.2535,919000000,,3676000000,20000000,0,80000000,80.5793,13.3191,18.6203,-39.9605,
300399.SZ,天利科技,20141027,45.95,50.55,50.55,46.97,47.61,14078135,690587382.7,1.66,3.6126,49.0539,70.3907,952200000,,3808800000,20000000,0,80000000,71.9332,8.4119,19.293,-41.4041,
300399.SZ,天利科技,20141028,47.61,45.5,49.19,45.24,48.23,8880318,421886157.9,0.62,1.3022,47.508,44.4016,964600000,,3858400000,20000000,0,80000000,72.8699,8.5215,19.5442,-41.9433,
300399.SZ,天利科技,20141029,48.23,51,53.05,49.8,52.28,8957846,461203878.7,4.05,8.3973,51.486,44.7892,1045600000,,4182400000,20000000,0,80000000,78.989,9.237,21.1854,-45.4654,
300399.SZ,天利科技,20141030,52.28,50.98,54.47,50.6,52.8,7506952,393604130.7,0.52,0.9946,52.4319,37.5348,1056000000,,4224000000,20000000,0,80000000,79.7747,9.3289,21.3961,-45.9176,
300399.SZ,天利科技,20141031,52.8,51.9,57.9,51.5,54.3,7489362,402240957.2,1.5,2.8409,53.7083,37.4468,1086000000,,4344000000,20000000,0,80000000,82.041,9.5939,22.0039,-47.2221,
300399.SZ,天利科技,20141103,54.3,53.92,58.5,53.58,57.16,6347966,357140031.4,2.86,5.267,56.2605,31.7398,1143200000,,4572800000,20000000,0,80000000,86.3621,10.0992,23.1629,-49.7093,
300399.SZ,天利科技,20141104,57.16,56.66,57.8,52.88,52.92,7141076,393175489.2,-4.24,-7.4178,55.0583,35.7054,1058400000,,4233600000,20000000,0,80000000,79.956,9.3501,21.4447,-46.022,
300399.SZ,天利科技,20141105,52.92,52.38,54.5,51.03,53.02,3950536,208753935.4,0.1,0.189,52.8419,19.7527,1060400000,,4241600000,20000000,0,80000000,80.107,9.3678,21.4853,-46.109,
300399.SZ,天利科技,20141106,53.02,52,56.5,52,55.46,5193835,283699855.2,2.44,4.602,54.6224,25.9692,1109200000,,4436800000,20000000,0,80000000,83.7936,9.7989,22.474,-48.2309,
300399.SZ,天利科技,20141107,55.46,55.8,57.93,53.9,54.35,5088103,284981191.3,-1.11,-2.0014,56.0093,25.4405,1087000000,,4348000000,20000000,0,80000000,82.1165,9.6028,22.0242,-47.2656,
300399.SZ,天利科技,20141110,54.35,54,58.66,53.82,58.2,5627023,318982348.3,3.85,7.0837,56.6876,28.1351,1164000000,,4656000000,20000000,0,80000000,87.9334,10.283,23.5843,-50.6138,
300399.SZ,天利科技,20141111,58.2,58.21,59.96,56.1,59.89,6316864,367167076.1,1.69,2.9038,58.1249,31.5843,1197800000,,4791200000,20000000,0,80000000,90.4868,10.5816,24.2692,-52.0835,
300399.SZ,天利科技,20141112,59.89,57.99,64.88,57.51,62.62,6164822,378037371.2,2.73,4.5584,61.3217,30.8241,1252400000,,5009600000,20000000,0,80000000,94.6115,11.0639,25.3755,-54.4576,
300399.SZ,天利科技,20141113,62.62,60,65.89,59.11,62.85,5730769,359756303.8,0.23,0.3673,62.7763,28.6538,1257000000,,5028000000,20000000,0,80000000,94.959,11.1046,25.4687,-54.6576,
300399.SZ,天利科技,20141114,62.85,61.99,64.64,56.57,56.57,6182414,369426882.5,-6.28,-9.992,59.7545,30.9121,1131400000,,4525600000,20000000,0,80000000,85.4707,9.995,22.9238,-49.1962,
300399.SZ,天利科技,20141117,56.57,54.6,57.77,53.02,54.89,3998952,222237413.3,-1.68,-2.9698,55.5739,19.9948,1097800000,,4391200000,20000000,0,80000000,82.9324,9.6982,22.243,-47.7352,
300399.SZ,天利科技,20141118,54.89,55.38,55.86,53.92,55.49,2399688,131912291.5,0.6,1.0931,54.9706,11.9984,1109800000,,4439200000,20000000,0,80000000,83.8389,9.8042,22.4862,-48.257,
300399.SZ,天利科技,20141119,55.49,55.1,57.57,54.5,56.3,3097516,173936614.4,0.81,1.4597,56.1536,15.4876,1126000000,,4504000000,20000000,0,80000000,85.0627,9.9473,22.8144,-48.9614,
300399.SZ,天利科技,20141120,56.3,55.4,56.28,54.9,55.72,2554114,141947915.6,-0.58,-1.0302,55.5762,12.7706,1114400000,,4457600000,20000000,0,80000000,84.1864,9.8448,22.5794,-48.457,
300399.SZ,天利科技,20141121,55.72,55.5,57.61,55.5,55.8,2873454,162559489.7,0.08,0.1436,56.5729,14.3673,1116000000,,4464000000,20000000,0,80000000,84.3073,9.859,22.6118,-48.5266,
300399.SZ,天利科技,20141124,55.8,56.65,57.35,55.7,56.2,2330968,131543853.7,0.4,0.7168,56.4331,11.6548,1124000000,,4496000000,20000000,0,80000000,84.9117,9.9296,22.7739,-48.8745,
300399.SZ,天利科技,20141125,56.2,56,56.39,51.85,52.29,4473711,238179305.9,-3.91,-6.9573,53.2398,22.3686,1045800000,,4183200000,20000000,0,80000000,79.0041,9.2388,21.1894,-45.4741,
300399.SZ,天利科技,20141126,52.29,52.11,53.32,52,52.79,1730668,91336712.4,0.5,0.9562,52.7754,8.6533,1055800000,,4223200000,20000000,0,80000000,79.7595,9.3271,21.392,-45.9089,
300399.SZ,天利科技,20141127,52.79,53.68,58.07,53.29,58.07,4055644,231078381.3,5.28,10.0019,56.977,20.2782,1161400000,,4645600000,20000000,0,80000000,87.737,10.26,23.5317,-50.5007,
300399.SZ,天利科技,20141128,58.07,60.66,63.88,59.5,63.88,7373669,458078291.2,5.81,10.0052,62.1235,36.8683,1277600000,,5110400000,20000000,0,80000000,96.5152,11.2866,25.886,-55.5534,
300399.SZ,天利科技,20141201,63.88,66,68.65,65.15,65.5,5410589,359594350.8,1.62,2.536,66.4612,27.0529,1310000000,,5240000000,20000000,0,80000000,98.9629,11.5728,26.5425,-56.9622,
300399.SZ,天利科技,20141202,65.5,66.94,72.05,66.3,72.05,3647878,255361290.9,6.55,10,70.0027,18.2394,1441000000,,5764000000,20000000,0,80000000,108.8592,12.7301,29.1968,-62.6584,
300399.SZ,天利科技,20141203,72.05,74,74,65,67.31,5653555,383953163.9,-4.74,-6.5788,67.9136,28.2678,1346200000,,5384800000,20000000,0,80000000,101.6976,11.8926,27.276,-58.5363,
300399.SZ,天利科技,20141204,67.31,66.31,71.66,66.03,67.65,4226433,288991239,0.34,0.5051,68.3771,21.1322,1353000000,,5412000000,20000000,0,80000000,102.2113,11.9527,27.4138,-58.832,
300399.SZ,天利科技,20141205,67.65,65.8,66.61,60.99,61.95,4257752,271187497.3,-5.7,-8.4257,63.6926,21.2888,1239000000,,4956000000,20000000,0,80000000,93.5992,10.9456,25.104,-53.875,
300399.SZ,天利科技,20141208,61.95,60.07,64.98,60.07,60.63,2795333,174860594.3,-1.32,-2.1308,62.5545,13.9767,1212600000,,4850400000,20000000,0,80000000,91.6049,10.7123,24.569,-52.727,
300399.SZ,天利科技,20141209,60.63,59.8,63.13,55.91,56.05,3198307,190697716.5,-4.58,-7.554,59.6246,15.9915,1121000000,,4484000000,20000000,0,80000000,84.685,9.9031,22.7131,-48.744,
300399.SZ,天利科技,20141210,56.05,55.5,61.3,55.5,59.58,2577107,150869670.3,3.53,6.2979,58.5423,12.8855,1191600000,,4766400000,20000000,0,80000000,90.0184,10.5268,24.1436,-51.8139,
300399.SZ,天利科技,20141211,59.58,58.5,61.5,58.2,60,2188789,131983368,0.42,0.7049,60.2997,10.9439,1200000000,,4800000000,20000000,0,80000000,90.653,10.601,24.3138,-52.1791,
300399.SZ,天利科技,20141212,60,59.43,62.5,58.81,61.9,2222112,134103479.3,1.9,3.1667,60.3496,11.1106,1238000000,,4952000000,20000000,0,80000000,93.5237,10.9367,25.0837,-53.8315,
300399.SZ,天利科技,20141215,61.9,61.88,66.84,61.3,65.6,3085533,198725006.3,3.7,5.9774,64.4054,15.4277,1312000000,,5248000000,20000000,0,80000000,99.114,11.5905,26.583,-57.0492,
