¥˙¬Î,ºÚ≥∆,»’∆⁄,«∞ ’≈Ãº€(‘™),ø™≈Ãº€(‘™),◊Ó∏ﬂº€(‘™),◊ÓµÕº€(‘™), ’≈Ãº€(‘™),≥…Ωª¡ø(π…),≥…ΩªΩ∂Ó(‘™),’«µ¯(‘™),’«µ¯∑˘(%),æ˘º€(‘™),ªª ÷¬ (%),Aπ…¡˜Õ® –÷µ(‘™),Bπ…¡˜Õ® –÷µ(‘™),◊‹ –÷µ(‘™),Aπ…¡˜Õ®π…±æ(π…),Bπ…¡˜Õ®π…±æ(π…),◊‹π…±æ(π…), –”Ø¬ , –æª¬ , –œ˙¬ , –œ÷¬ ,
300888.SZ,Œ»Ω°“Ω¡∆,20200917,,125,160,125,126.25,31665069,4152523230,51.95,69.9192,131.1389,72.1626,5539869821.25,,53844653885,43880157,0,426492308,39.9269,13.1511,11.7703,643.657,
300888.SZ,Œ»Ω°“Ω¡∆,20200918,126.25,118.77,119.58,107.5,109.5,19689071,2208501715,-16.75,-13.2673,112.1689,44.8701,4804877191.5,,46700907726,43880157,0,426492308,34.6297,11.4063,10.2087,558.261,
300888.SZ,Œ»Ω°“Ω¡∆,20200921,109.5,105.7,115.77,103.7,114.98,13756747,1549776715,5.48,5.0046,112.6558,31.3507,5045340451.86,,49038085573.84,43880157,0,426492308,36.3627,11.9772,10.7196,586.1995,
300888.SZ,Œ»Ω°“Ω¡∆,20200922,114.98,113.5,127.75,112.8,122.66,15047571,1846674881,7.68,6.6794,122.7225,34.2924,5382340057.62,,52313546499.28,43880157,0,426492308,38.7916,12.7772,11.4356,625.3542,
300888.SZ,Œ»Ω°“Ω¡∆,20200923,122.66,121.67,123.87,117.51,118.91,9687441,1161542882,-3.75,-3.0572,119.9019,22.077,5217789468.87,,50714200344.28,43880157,0,426492308,37.6056,12.3866,11.086,606.2357,
300888.SZ,Œ»Ω°“Ω¡∆,20200924,118.91,116.8,128.6,115.5,122.28,12619657,1572385564,3.37,2.8341,124.5981,28.7594,5365665597.96,,52151479422.24,43880157,0,426492308,38.6714,12.7376,11.4002,623.4169,
300888.SZ,Œ»Ω°“Ω¡∆,20200925,122.28,122.26,128.58,121,123.11,9489204,1185844453,0.83,0.6788,124.9677,21.6253,5402086128.27,,52505468037.88,43880157,0,426492308,38.9339,12.8241,11.4775,627.6484,
300888.SZ,Œ»Ω°“Ω¡∆,20200928,123.11,124,126.97,117.51,122.25,7916527,971912810,-0.86,-0.6986,122.7701,18.0412,5364349193.25,,52138684653,43880157,0,426492308,38.6619,12.7345,11.3974,623.2639,
300888.SZ,Œ»Ω°“Ω¡∆,20200929,122.25,120.6,122,113.51,113.66,7517873,878253012,-8.59,-7.0266,116.822,17.1327,4987418644.62,,48475115727.28,43880157,0,426492308,35.9453,11.8397,10.5965,579.4698,
300888.SZ,Œ»Ω°“Ω¡∆,20200930,113.66,113.6,117.4,113.4,114.5,4745357,548063417,0.84,0.739,115.4947,10.8144,5024277976.5,,48833369266,43880157,0,426492308,36.2109,11.9272,10.6748,583.7523,
300888.SZ,Œ»Ω°“Ω¡∆,20201009,114.5,117,125.29,114.11,122.19,7511076,897650568,7.69,6.7162,119.5102,17.1172,5361716383.83,,52113095114.52,43880157,0,426492308,38.6429,12.7282,11.3918,622.9581,
300888.SZ,Œ»Ω°“Ω¡∆,20201012,122.19,123.84,126.65,120.8,125.18,7332188,908763977,2.99,2.447,123.9417,16.7096,5492918053.26,,53388307115.44,43880157,0,426492308,39.5885,13.0397,11.6705,638.2019,
300888.SZ,Œ»Ω°“Ω¡∆,20201013,125.18,125.12,146.3,123.07,136.51,12736744,1702021160,11.33,9.051,133.6308,29.0262,5990080232.07,,58220464965.08,43880157,0,426492308,43.1717,14.2199,12.7268,695.9653,
300888.SZ,Œ»Ω°“Ω¡∆,20201014,136.51,144,163.81,142.05,163.81,9393636,1454412432,27.3,19.9985,154.8295,21.4075,7188008518.17,,69863704973.48,43880157,0,426492308,51.8054,17.0637,15.272,835.1482,
300888.SZ,Œ»Ω°“Ω¡∆,20201015,163.81,175,181.77,157.12,165,16238745,2741853960,1.19,0.7265,168.8464,37.007,7240225905,,70371230820,43880157,0,426492308,52.1817,17.1876,15.3829,841.2151,
