¥˙¬Î,ºÚ≥∆,»’∆⁄,«∞ ’≈Ãº€(‘™),ø™≈Ãº€(‘™),◊Ó∏ﬂº€(‘™),◊ÓµÕº€(‘™), ’≈Ãº€(‘™),≥…Ωª¡ø(π…),≥…ΩªΩ∂Ó(‘™),’«µ¯(‘™),’«µ¯∑˘(%),æ˘º€(‘™),ªª ÷¬ (%),Aπ…¡˜Õ® –÷µ(‘™),Bπ…¡˜Õ® –÷µ(‘™),◊‹ –÷µ(‘™),Aπ…¡˜Õ®π…±æ(π…),Bπ…¡˜Õ®π…±æ(π…),◊‹π…±æ(π…), –”Ø¬ , –æª¬ , –œ˙¬ , –œ÷¬ ,
600135.SH,¿÷ø≠Ω∫∆¨,20070104,10.3812,10.5322,10.8776,10.3596,10.3812,3081499,15066718,0,0,4.8894,2.4456,606060000,,1645020000,126000000,0,342000000,68.4516,1.7665,1.8048,-26.4195,
600135.SH,¿÷ø≠Ω∫∆¨,20070105,10.3812,10.4028,10.9423,10.3596,10.8991,2935915,14485970,0.518,4.9896,4.9341,2.3301,636300000,,1727100000,126000000,0,342000000,71.8671,1.8546,1.8949,-27.7377,
600135.SH,¿÷ø≠Ω∫∆¨,20070108,10.8991,10.8128,11.4387,10.7912,11.4387,3796919,20070723,0.5396,4.9505,5.2861,3.0134,667800000,,1812600000,126000000,0,342000000,75.4248,1.9464,1.9887,-29.1109,
600135.SH,¿÷ø≠Ω∫∆¨,20070109,11.4387,11.5466,12.0214,11.5466,12.0214,1917787,10652832,0.5827,5.0943,5.5548,1.5221,701820000,,1904940000,126000000,0,342000000,79.2672,2.0456,2.09,-30.5939,
600135.SH,¿÷ø≠Ω∫∆¨,20070110,12.0214,12.561,12.5826,11.9567,12.302,8039377,45658262,0.2806,2.3339,5.6793,6.3805,718200000,,1949400000,126000000,0,342000000,81.1173,2.0934,2.1388,-31.3079,
600135.SH,¿÷ø≠Ω∫∆¨,20070111,12.302,12.302,12.9279,12.0862,12.302,6538664,38439250,0,0,5.8788,5.1894,718200000,,1949400000,126000000,0,342000000,81.1173,2.0934,2.1388,-31.3079,
600135.SH,¿÷ø≠Ω∫∆¨,20070112,12.302,12.1941,12.9279,12.1941,12.4531,5324867,31081220,0.1511,1.2281,5.837,4.2261,727020000,,1973340000,126000000,0,342000000,82.1134,2.1191,2.1651,-31.6924,
600135.SH,¿÷ø≠Ω∫∆¨,20070115,12.4531,12.5394,13.079,12.5394,13.079,3560204,21302265,0.6259,5.026,5.9834,2.8256,763560000,,2072520000,126000000,0,342000000,86.2405,2.2256,2.2739,-33.2853,
600135.SH,¿÷ø≠Ω∫∆¨,20070116,13.079,13.1869,13.5322,12.8416,13.1653,3459211,21036482,0.0863,0.6601,6.0813,2.7454,768600000,,2086200000,126000000,0,342000000,86.8097,2.2403,2.2889,-33.505,
600135.SH,¿÷ø≠Ω∫∆¨,20070117,13.1653,13.2732,13.3811,12.5178,12.6473,3727128,22301868,-0.518,-3.9344,5.9837,2.958,738360000,,2004120000,126000000,0,342000000,83.3942,2.1521,2.1988,-32.1868,
600135.SH,¿÷ø≠Ω∫∆¨,20070118,12.6473,12.6257,12.9063,12.2804,12.8416,3211412,18636170,0.1942,1.5358,5.8031,2.5487,749700000,,2034900000,126000000,0,342000000,84.675,2.1852,2.2326,-32.6811,
600135.SH,¿÷ø≠Ω∫∆¨,20070119,12.8416,13.0358,13.1437,12.7768,13.0574,3384324,20277058,0.2158,1.6807,5.9915,2.686,762300000,,2069100000,126000000,0,342000000,86.0981,2.2219,2.2701,-33.2304,
600135.SH,¿÷ø≠Ω∫∆¨,20070122,13.0574,13.0574,13.5538,13.0574,13.489,3638763,22507829,0.4316,3.3058,6.1856,2.8879,787500000,,2137500000,126000000,0,342000000,88.9444,2.2953,2.3452,-34.3289,
600135.SH,¿÷ø≠Ω∫∆¨,20070123,13.489,13.5754,14.1581,13.1221,14.1581,4447623,28081071,0.6691,4.96,6.3137,3.5299,826560000,,2243520000,126000000,0,342000000,93.356,2.4092,2.4615,-36.0316,
600135.SH,¿÷ø≠Ω∫∆¨,20070124,14.1581,13.9854,14.8703,13.9854,14.784,3896818,26375348,0.6259,4.4207,6.7684,3.0927,863100000,,2342700000,126000000,0,342000000,97.483,2.5157,2.5703,-37.6245,
