╢ЗбК,╪РЁф,хуфз,г╟йуел╪ш(т╙),©╙ел╪ш(т╙),вН╦ъ╪ш(т╙),вН╣м╪ш(т╙),йуел╪ш(т╙),Ёи╫╩а©(╧и),Ёи╫╩╫П╤Н(т╙),уг╣Ь(т╙),уг╣Ь╥Ы(%),╬Ы╪ш(т╙),╩╩йжбй(%),A╧иаВм╗йпж╣(т╙),B╧иаВм╗йпж╣(т╙),вэйпж╣(т╙),A╧иаВм╗╧и╠╬(╧и),B╧иаВм╗╧и╠╬(╧и),вэ╧и╠╬(╧и),йпс╞бй,йп╬╩бй,йпоЗбй,йпожбй,
601566.SH,╬едамУ,20110530,,21.3,21.55,19.06,19.13,22394493,456343625,-2.87,-13.0455,20.3775,23.3276,1836480000,,10960150900,96000000,0,572930000,30.4174,12.0613,6.5441,-125.9057,
601566.SH,╬едамУ,20110531,19.13,19.71,20.35,19.61,20.05,10605470,211596114,0.92,4.8092,19.9516,11.0474,1924800000,,11487246500,96000000,0,572930000,31.8802,12.6414,6.8588,-131.9608,
601566.SH,╬едамУ,20110601,20.05,19.61,21.24,19.24,20.82,10522322,214804464,0.77,3.8404,20.4142,10.9608,1998720000,,11928402600,96000000,0,572930000,33.1045,13.1268,7.1222,-137.0286,
601566.SH,╬едамУ,20110602,20.82,20.2,21.97,20.1,21.56,11928407,253546809,0.74,3.5543,21.2557,12.4254,2069760000,,12352370800,96000000,0,572930000,34.2812,13.5934,7.3754,-141.899,
601566.SH,╬едамУ,20110603,21.56,21.41,21.68,20.8,21.38,5750861,122387339,-0.18,-0.8349,21.2816,5.9905,2052480000,,12249243400,96000000,0,572930000,33.995,13.4799,7.3138,-140.7143,
601566.SH,╬едамУ,20110607,21.38,21.15,21.35,20.57,21.11,4364536,91455504,-0.27,-1.2629,20.9542,4.5464,2026560000,,12094552300,96000000,0,572930000,33.5657,13.3097,7.2214,-138.9372,
601566.SH,╬едамУ,20110608,21.11,21,21.53,20.38,21.32,3183804,66993216,0.21,0.9948,21.0419,3.3165,2046720000,,12214867600,96000000,0,572930000,33.8996,13.4421,7.2933,-140.3194,
601566.SH,╬едамУ,20110609,21.32,21.08,21.2,20.2,20.3,2634171,54498354,-1.02,-4.7842,20.689,2.7439,1948800000,,11630479000,96000000,0,572930000,32.2777,12.799,6.9444,-133.6062,
601566.SH,╬едамУ,20110610,20.3,20.34,20.86,20.15,20.64,2090773,42947724,0.34,1.6749,20.5416,2.1779,1981440000,,11825275200,96000000,0,572930000,32.8183,13.0133,7.0607,-135.8439,
601566.SH,╬едамУ,20110613,20.64,20.3,20.67,20.2,20.23,1729434,35260759,-0.41,-1.9864,20.3886,1.8015,1942080000,,11590373900,96000000,0,572930000,32.1664,12.7548,6.9204,-133.1454,
601566.SH,╬едамУ,20110614,20.23,20.08,20.48,20.05,20.15,1584343,31996464,-0.08,-0.3955,20.1954,1.6504,1934400000,,11544539500,96000000,0,572930000,32.0392,12.7044,6.893,-132.6189,
601566.SH,╬едамУ,20110615,20.15,20.15,20.39,19.7,19.78,1344914,26979492,-0.37,-1.8362,20.0604,1.401,1898880000,,11332555400,96000000,0,572930000,31.4509,12.4711,6.7665,-130.1837,
601566.SH,╬едамУ,20110616,19.78,19.56,20.15,19.52,20.07,1629358,32623102,0.29,1.4661,20.0221,1.6972,1926720000,,11498705100,96000000,0,572930000,31.912,12.654,6.8657,-132.0924,
601566.SH,╬едамУ,20110617,20.07,19.95,20.1,19.36,19.4,1389876,27390755,-0.67,-3.3383,19.7073,1.4478,1862400000,,11114842000,96000000,0,572930000,30.8467,12.2315,6.6365,-127.6827,
601566.SH,╬едамУ,20110620,19.4,19.44,19.52,19.06,19.15,1055408,20220657,-0.25,-1.2887,19.1591,1.0994,1838400000,,10971609500,96000000,0,572930000,30.4492,12.0739,6.551,-126.0373,
601566.SH,╬едамУ,20110621,19.15,19.16,19.87,19.01,19.8,1409129,27455963,0.65,3.3943,19.4844,1.4678,1900800000,,11344014000,96000000,0,572930000,31.4827,12.4837,6.7733,-130.3154,
601566.SH,╬едамУ,20110622,19.8,19.66,19.9,19.54,19.68,689197,13581148,-0.12,-0.6061,19.7058,0.7179,1889280000,,11275262400,96000000,0,572930000,31.2919,12.4081,6.7323,-129.5256,
601566.SH,╬едамУ,20110623,19.68,19.62,20.33,19.46,20.22,1358083,27246316,0.54,2.7439,20.0623,1.4147,1941120000,,11584644600,96000000,0,572930000,32.1505,12.7485,6.917,-133.0796,
601566.SH,╬едамУ,20110624,20.22,20.05,20.57,20.03,20.4,2148547,43780896,0.18,0.8902,20.377,2.2381,1958400000,,11687772000,96000000,0,572930000,32.4367,12.862,6.9786,-134.2643,
601566.SH,╬едамУ,20110627,20.4,20.38,21.13,20.23,20.97,2180920,45602071,0.57,2.7941,20.9096,2.2718,2013120000,,12014342100,96000000,0,572930000,33.343,13.2214,7.1736,-138.0158,
