代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
603206.SH,嘉环科技,20220506,,17.44,20.92,17.44,20.92,4173404,86916856,6.39,43.978,20.8264,5.4697,1596196000,,6384783748.96,76300000,0,305199988,28.8529,6.8682,1.7961,-127.2015,
603206.SH,嘉环科技,20220509,20.92,23.01,23.01,23.01,23.01,596575,13727191,2.09,9.9904,23.01,0.7819,1755663000,,7022651723.88,76300000,0,305199988,31.7354,7.5544,1.9756,-139.9095,
603206.SH,嘉环科技,20220510,23.01,25.31,25.31,25.31,25.31,666531,16869900,2.3,9.9957,25.31,0.8736,1931153000,,7724611696.28,76300000,0,305199988,34.9076,8.3095,2.173,-153.8944,
603206.SH,嘉环科技,20220511,25.31,27.84,27.84,27.84,27.84,493021,13725705,2.53,9.996,27.84,0.6462,2124192000,,8496767665.92,76300000,0,305199988,38.3969,9.1401,2.3903,-169.2777,
603206.SH,嘉环科技,20220512,27.84,30.62,30.62,27.85,30.62,58247413,1747425175,2.78,9.9856,30,76.34,2336306000,,9345223632.56,76300000,0,305199988,42.2311,10.0528,2.6289,-186.1812,
603206.SH,嘉环科技,20220513,30.62,28.8,29.33,27.56,27.56,17071454,480069974,-3.06,-9.9935,28.1212,22.3741,2102828000,,8411311669.28,76300000,0,305199988,38.0108,9.0482,2.3662,-167.5752,
603206.SH,嘉环科技,20220516,27.56,24.8,24.8,24.8,24.8,2454600,60874080,-2.76,-10.0145,24.8,3.217,1892240000,,7568959702.4,76300000,0,305199988,34.2042,8.1421,2.1293,-150.7934,
603206.SH,嘉环科技,20220517,24.8,22.58,24.32,22.58,23.05,35635855,827885435,-1.75,-7.0565,23.2318,46.7049,1758715000,,7034859723.4,76300000,0,305199988,31.7906,7.5675,1.979,-140.1527,
603206.SH,嘉环科技,20220518,23.05,22.7,23.49,22.58,22.85,22926634,527254056,-0.2,-0.8677,22.9974,30.048,1743455000,,6973819725.8,76300000,0,305199988,31.5147,7.5019,1.9618,-138.9366,
603206.SH,嘉环科技,20220519,22.85,22.04,23.21,21.41,22.66,24095535,536455572,-0.19,-0.8315,22.2637,31.58,1728958000,,6915831728.08,76300000,0,305199988,31.2527,7.4395,1.9455,-137.7814,
603206.SH,嘉环科技,20220520,22.66,22.3,22.7,21.61,21.61,23153716,510664850,-1.05,-4.6337,22.0554,30.3456,1648843000,,6595371740.68,76300000,0,305199988,29.8045,7.0948,1.8554,-131.397,
603206.SH,嘉环科技,20220523,21.61,21.61,21.74,20.98,21.16,16075036,341102109,-0.45,-2.0824,21.2194,21.0682,1614508000,,6458031746.08,76300000,0,305199988,29.1839,6.947,1.8167,-128.6608,
603206.SH,嘉环科技,20220524,21.16,21.2,21.32,19.65,19.74,18661718,382045248,-1.42,-6.7108,20.4721,24.4583,1506162000,,6024647763.12,76300000,0,305199988,27.2254,6.4808,1.6948,-120.0267,
603206.SH,嘉环科技,20220525,19.74,19.69,20.35,19.56,20.12,12986882,258545992,0.38,1.925,19.9082,17.0208,1535156000,,6140623758.56,76300000,0,305199988,27.7495,6.6056,1.7274,-122.3372,
603206.SH,嘉环科技,20220526,20.12,19.98,20,19.38,19.54,10796737,212032592,-0.58,-2.8827,19.6386,14.1504,1490902000,,5963607765.52,76300000,0,305199988,26.9496,6.4152,1.6776,-118.8106,
603206.SH,嘉环科技,20220527,19.54,19.51,20.1,19.51,19.81,10546095,208486713,0.27,1.3818,19.7691,13.8219,1511503000,,6046011762.28,76300000,0,305199988,27.322,6.5038,1.7008,-120.4523,
603206.SH,嘉环科技,20220530,19.81,19.81,20.05,19.31,20.05,11253892,221461638,0.24,1.2115,19.6787,14.7495,1529815000,,6119259759.4,76300000,0,305199988,27.653,6.5826,1.7214,-121.9116,
603206.SH,嘉环科技,20220531,20.05,20.04,20.39,19.8,20.18,11885181,239678049,0.13,0.6484,20.1661,15.5769,1539734000,,6158935757.84,76300000,0,305199988,27.8323,6.6253,1.7326,-122.702,
603206.SH,嘉环科技,20220601,20.18,20,20.77,19.92,20.64,14066201,288175238,0.46,2.2795,20.4871,18.4354,1574832000,,6299327752.32,76300000,0,305199988,28.4667,6.7763,1.7721,-125.499,
603206.SH,嘉环科技,20220602,20.64,20.41,20.48,19.59,19.8,13237490,263085846,-0.84,-4.0698,19.8743,17.3493,1510740000,,6042959762.4,76300000,0,305199988,27.3082,6.5005,1.7,-120.3915,
603206.SH,嘉环科技,20220606,19.8,19.68,19.9,19.53,19.78,8031690,158506574,-0.02,-0.101,19.7351,10.5265,1509214000,,6036855762.64,76300000,0,305199988,27.2806,6.494,1.6983,-120.2699,
603206.SH,嘉环科技,20220607,19.78,19.83,19.92,19.38,19.72,9650883,189315856,-0.06,-0.3033,19.6164,12.6486,1504636000,,6018543763.36,76300000,0,305199988,27.1978,6.4743,1.6931,-119.905,
603206.SH,嘉环科技,20220608,19.72,19.72,19.87,19.38,19.55,7004225,137377114,-0.17,-0.8621,19.6135,9.1798,1491665000,,5966659765.4,76300000,0,305199988,26.9634,6.4185,1.6785,-118.8714,
603206.SH,嘉环科技,20220609,19.55,19.49,19.49,18.49,18.5,10796373,203721071,-1.05,-5.3708,18.8694,14.1499,1411550000,,5646199778,76300000,0,305199988,25.5152,6.0737,1.5884,-112.487,
