´úÂë,¼ò³Æ,ÈÕÆÚ,Ç°ÊÕÅÌ¼Û(Ôª),¿ªÅÌ¼Û(Ôª),×î¸ß¼Û(Ôª),×îµÍ¼Û(Ôª),ÊÕÅÌ¼Û(Ôª),³É½»Á¿(¹É),³É½»½ð¶î(Ôª),ÕÇµø(Ôª),ÕÇµø·ù(%),¾ù¼Û(Ôª),»»ÊÖÂÊ(%),A¹ÉÁ÷Í¨ÊÐÖµ(Ôª),B¹ÉÁ÷Í¨ÊÐÖµ(Ôª),×ÜÊÐÖµ(Ôª),A¹ÉÁ÷Í¨¹É±¾(¹É),B¹ÉÁ÷Í¨¹É±¾(¹É),×Ü¹É±¾(¹É),ÊÐÓ¯ÂÊ,ÊÐ¾»ÂÊ,ÊÐÏúÂÊ,ÊÐÏÖÂÊ,
688369.SH,ÖÂÔ¶»¥Áª,20191031,,75,85,72.77,76.9,13534557,1048407325,27.51,55.6995,77.4615,76.6453,1357952568.9,,5920498932.7,17658681,0,76989583,62.3741,16.961,10.2414,17.3503,
688369.SH,ÖÂÔ¶»¥Áª,20191101,76.9,74.53,79.88,70.18,72.46,8036319,599805239,-4.44,-5.7737,74.6368,45.5092,1279548025.26,,5578665184.18,17658681,0,76989583,58.7728,15.9817,9.6501,16.3485,
688369.SH,ÖÂÔ¶»¥Áª,20191104,72.46,73.5,73.99,70.39,71.15,5110510,369288433,-1.31,-1.8079,72.2606,28.9405,1256415153.15,,5477808830.45,17658681,0,76989583,57.7102,15.6927,9.4757,16.0529,
688369.SH,ÖÂÔ¶»¥Áª,20191105,71.15,70,70.02,64.12,64.61,5557235,370042041,-6.54,-9.1918,66.5874,31.4703,1140927379.41,,4974296957.63,17658681,0,76989583,52.4056,14.2503,8.6047,14.5774,
688369.SH,ÖÂÔ¶»¥Áª,20191106,64.61,64.1,66.33,63.5,64,2663678,172052487,-0.61,-0.9441,64.5921,15.0842,1130155584,,4927333312,17658681,0,76989583,51.9108,14.1158,8.5234,14.4398,
688369.SH,ÖÂÔ¶»¥Áª,20191107,64,64.1,69.36,64.05,66.9,4537842,302803864,2.9,4.5313,66.7286,25.6975,1181365758.9,,5150603102.7,17658681,0,76989583,54.263,14.7554,8.9097,15.0941,
688369.SH,ÖÂÔ¶»¥Áª,20191108,66.9,66.28,69.98,65.7,65.9,3716097,251171090,-1,-1.4948,67.59,21.044,1163707077.9,,5073613519.7,17658681,0,76989583,53.4519,14.5348,8.7765,14.8684,
688369.SH,ÖÂÔ¶»¥Áª,20191111,65.9,65.91,68.25,64.65,65.3,2833623,187847896,-0.6,-0.9105,66.2925,16.0466,1153111869.3,,5027419769.9,17658681,0,76989583,52.9653,14.4025,8.6966,14.7331,
688369.SH,ÖÂÔ¶»¥Áª,20191112,65.3,66.06,67.5,62.26,62.88,3196188,208542153,-2.42,-3.706,65.2471,18.0998,1110377861.28,,4841104979.04,17658681,0,76989583,51.0024,13.8687,8.3743,14.1871,
688369.SH,ÖÂÔ¶»¥Áª,20191113,62.88,63.5,66.2,62.71,66.2,3002656,193972019,3.32,5.2799,64.6001,17.0039,1169004682.2,,5096710394.6,17658681,0,76989583,53.6953,14.601,8.8164,14.9361,
