Date,Open,High,Low,Close,Volume
2000-01-03 16:00:00.288,1.13,1.19,1.13,1.13,22900
2000-01-04 16:00:00.288,1.09,1.09,1.06,1.09,16700
2000-01-05 16:00:00.288,1.06,1.09,1.06,1.09,4000
2000-01-06 16:00:00.288,1.06,1.16,1.06,1.16,30600
2000-01-07 16:00:00.288,1.13,1.22,1.13,1.19,70400
2000-01-10 16:00:00.288,1.22,1.22,1.19,1.22,37400
2000-01-11 16:00:00.288,1.22,1.25,1.13,1.16,67600
2000-01-12 16:00:00.288,1.16,1.16,1.09,1.09,57800
2000-01-13 16:00:00.288,1.13,1.13,1.0,1.0,194900
2000-01-14 16:00:00.288,1.0,1.0,1.0,1.0,242200
2000-01-18 16:00:00.288,1.0,1.03,0.97,1.0,248900
2000-01-19 16:00:00.288,1.0,1.03,0.97,0.97,58200
2000-01-20 16:00:00.288,1.0,1.03,0.66,0.72,9238800
2000-01-21 16:00:00.288,0.75,0.78,0.75,0.78,1071400
2000-01-24 16:00:00.288,0.78,0.78,0.78,0.78,388400
2000-01-25 16:00:00.288,0.78,0.78,0.75,0.78,126900
2000-01-26 16:00:00.288,0.78,0.78,0.75,0.78,78300
2000-01-27 16:00:00.288,0.78,0.78,0.75,0.75,414800
2000-01-28 16:00:00.288,0.75,0.78,0.75,0.75,181500
2000-01-31 16:00:00.288,0.78,0.81,0.78,0.78,574500
2000-02-01 16:00:00.288,0.81,0.84,0.78,0.84,453700
2000-02-02 16:00:00.288,0.84,0.88,0.84,0.84,204100
2000-02-03 16:00:00.288,0.88,0.88,0.84,0.84,364200
2000-02-04 16:00:00.288,0.84,0.84,0.84,0.84,205600
2000-02-07 16:00:00.288,0.88,0.88,0.88,0.88,340100
2000-02-08 16:00:00.288,0.88,0.88,0.84,0.84,444400
2000-02-09 16:00:00.288,0.88,0.88,0.78,0.81,247400
2000-02-10 16:00:00.288,0.81,0.81,0.75,0.78,218700
2000-02-11 16:00:00.288,0.78,0.78,0.69,0.75,304400
2000-02-14 16:00:00.288,0.78,0.78,0.72,0.75,293700
2000-02-15 16:00:00.288,0.75,0.78,0.75,0.78,119000
2000-02-16 16:00:00.288,0.78,0.78,0.75,0.75,272000
2000-02-17 16:00:00.288,0.78,0.78,0.78,0.78,52400
2000-02-18 16:00:00.288,0.81,0.81,0.78,0.81,117100
2000-02-22 16:00:00.288,0.81,0.81,0.78,0.81,73000
2000-02-23 16:00:00.288,0.81,0.81,0.78,0.78,99500
2000-02-24 16:00:00.288,0.81,0.81,0.78,0.81,165300
2000-02-25 16:00:00.288,0.81,0.81,0.78,0.81,94300
2000-02-28 16:00:00.288,0.81,0.81,0.78,0.81,109500
2000-02-29 16:00:00.288,0.81,0.84,0.78,0.81,358000
2000-03-01 16:00:00.288,0.81,0.81,0.81,0.81,82200
2000-03-02 16:00:00.288,0.81,0.84,0.81,0.81,116700
2000-03-03 16:00:00.288,0.84,0.88,0.81,0.81,557500
2000-03-06 16:00:00.288,0.88,1.03,0.88,1.03,893800
2000-03-07 16:00:00.288,1.09,1.22,1.09,1.22,493100
2000-03-08 16:00:00.288,1.22,1.31,1.22,1.28,237200
2000-03-09 16:00:00.288,1.34,1.34,1.28,1.31,163000
2000-03-10 16:00:00.288,1.28,1.28,1.25,1.25,259500
2000-03-13 16:00:00.288,1.25,1.25,1.19,1.22,133800
2000-03-14 16:00:00.288,1.25,1.25,1.19,1.19,64700
2000-03-15 16:00:00.288,1.19,1.22,1.03,1.06,980700
2000-03-16 16:00:00.288,1.16,1.16,1.03,1.13,162700
2000-03-17 16:00:00.288,1.16,1.16,1.09,1.13,88300
2000-03-20 16:00:00.288,1.16,1.16,1.16,1.16,159800
2000-03-21 16:00:00.288,1.16,1.16,1.09,1.09,283300
2000-03-22 16:00:00.288,1.16,1.19,1.13,1.16,212500
2000-03-23 16:00:00.288,1.16,1.41,1.16,1.34,239400
2000-03-24 16:00:00.288,1.38,1.44,1.34,1.41,121300
2000-03-27 16:00:00.288,1.38,1.72,1.38,1.66,279400
2000-03-28 16:00:00.288,1.38,2.0,1.38,1.94,328200
2000-03-29 16:00:00.288,2.0,2.03,1.91,1.94,175900
2000-03-30 16:00:00.288,1.91,1.94,1.5,1.75,264400
2000-03-31 16:00:00.288,1.91,1.94,1.59,1.66,75400
2000-04-03 16:00:00.288,1.91,1.97,1.59,1.91,162800
2000-04-04 16:00:00.288,1.94,1.97,1.72,1.88,296500
2000-04-05 16:00:00.288,1.94,1.94,1.81,1.81,110400
2000-04-06 16:00:00.288,1.94,2.06,1.66,1.72,669900
2000-04-07 16:00:00.288,1.75,1.75,1.44,1.53,199300
2000-04-10 16:00:00.288,1.59,1.59,1.53,1.56,129200
2000-04-11 16:00:00.288,1.53,1.56,1.47,1.47,115200
2000-04-12 16:00:00.288,1.47,1.47,1.25,1.31,247400
2000-04-13 16:00:00.288,1.47,1.47,1.19,1.22,60000
2000-04-14 16:00:00.288,1.22,1.25,1.22,1.25,289500
2000-04-17 16:00:00.288,1.22,1.22,1.09,1.09,161000
2000-04-18 16:00:00.288,1.09,1.16,1.09,1.13,56300
2000-04-19 16:00:00.288,1.13,1.13,1.03,1.09,131200
2000-04-20 16:00:00.288,1.13,1.16,1.09,1.13,45100
2000-04-24 16:00:00.288,1.13,1.19,1.09,1.16,55500
2000-04-25 16:00:00.288,1.13,1.19,1.13,1.19,133700
2000-04-26 16:00:00.288,1.19,1.22,1.16,1.16,28400
2000-04-27 16:00:00.288,1.16,1.19,1.16,1.16,27600
2000-04-28 16:00:00.288,1.19,1.31,1.16,1.31,93700
2000-05-01 16:00:00.288,1.28,1.31,1.28,1.28,23500
2000-05-02 16:00:00.288,1.34,1.41,1.31,1.38,99700
2000-05-03 16:00:00.288,1.34,1.41,1.34,1.38,144200
2000-05-04 16:00:00.288,1.34,1.53,1.34,1.47,243700
2000-05-05 16:00:00.288,1.5,1.53,1.47,1.5,107800
2000-05-08 16:00:00.288,1.5,1.53,1.34,1.34,119800
2000-05-09 16:00:00.288,1.38,1.38,1.25,1.25,40800
2000-05-10 16:00:00.288,1.22,1.28,1.22,1.22,63500
2000-05-11 16:00:00.288,1.22,1.25,1.22,1.22,21300
2000-05-12 16:00:00.288,1.38,1.41,1.22,1.28,161300
2000-05-15 16:00:00.288,1.31,1.31,1.19,1.19,73300
2000-05-16 16:00:00.288,1.28,1.28,1.19,1.19,46900
2000-05-17 16:00:00.288,1.25,1.28,1.22,1.25,68400
2000-05-18 16:00:00.288,1.28,1.28,1.22,1.22,66700
2000-05-19 16:00:00.288,1.25,1.25,1.19,1.22,39800
2000-05-22 16:00:00.288,1.25,1.25,1.16,1.16,141600
2000-05-23 16:00:00.288,1.19,1.22,1.16,1.22,28300
2000-05-24 16:00:00.288,1.22,1.22,1.22,1.22,34000
2000-05-25 16:00:00.288,1.22,1.25,1.22,1.22,17400
2000-05-26 16:00:00.288,1.25,1.28,1.22,1.25,145600
2000-05-30 16:00:00.288,1.31,1.38,1.28,1.38,111100
2000-05-31 16:00:00.288,1.31,1.34,1.31,1.34,54800
2000-06-01 16:00:00.288,1.34,1.38,1.31,1.38,22700
2000-06-02 16:00:00.288,1.34,1.41,1.34,1.34,44900
2000-06-05 16:00:00.288,1.34,1.47,1.34,1.47,185100
2000-06-06 16:00:00.288,1.5,1.69,1.47,1.66,401200
2000-06-07 16:00:00.288,1.69,1.81,1.69,1.69,360700
2000-06-08 16:00:00.288,1.72,1.72,1.56,1.63,114200
2000-06-09 16:00:00.288,1.56,1.59,1.56,1.59,90400
2000-06-12 16:00:00.288,1.59,1.59,1.56,1.56,50000
2000-06-13 16:00:00.288,1.59,1.66,1.56,1.63,83700
2000-06-14 16:00:00.288,1.59,1.72,1.56,1.69,114200
2000-06-15 16:00:00.288,1.59,1.72,1.56,1.69,95900
2000-06-16 16:00:00.288,1.59,1.69,1.56,1.66,110800
2000-06-19 16:00:00.288,1.63,1.63,1.56,1.63,95100
2000-06-20 16:00:00.288,1.59,1.59,1.56,1.56,127900
2000-06-21 16:00:00.288,1.5,1.59,1.5,1.59,69100
2000-06-22 16:00:00.288,1.59,1.59,1.56,1.56,50500
2000-06-23 16:00:00.288,1.56,1.59,1.56,1.59,23600
2000-06-26 16:00:00.288,1.56,1.59,1.56,1.56,6000
2000-06-27 16:00:00.288,1.59,1.59,1.56,1.56,35100
2000-06-28 16:00:00.288,1.56,1.56,1.53,1.53,34200
